Raman Shift,Raman intensity,Sample name
400,836.3306,"Dataset E - Low baseline, strong isolated peak"
420,818.6049,"Dataset E - Low baseline, strong isolated peak"
440,813.3908,"Dataset E - Low baseline, strong isolated peak"
460,852.9332,"Dataset E - Low baseline, strong isolated peak"
480,900.2577,"Dataset E - Low baseline, strong isolated peak"
500,843.3634,"Dataset E - Low baseline, strong isolated peak"
520,772.6414,"Dataset E - Low baseline, strong isolated peak"
540,872.2279,"Dataset E - Low baseline, strong isolated peak"
560,820.0619,"Dataset E - Low baseline, strong isolated peak"
580,836.5142,"Dataset E - Low baseline, strong isolated peak"
600,930.703,"Dataset E - Low baseline, strong isolated peak"
620,972.67,"Dataset E - Low baseline, strong isolated peak"
640,870.0771,"Dataset E - Low baseline, strong isolated peak"
660,887.9573,"Dataset E - Low baseline, strong isolated peak"
680,768.0941,"Dataset E - Low baseline, strong isolated peak"
700,907.1704,"Dataset E - Low baseline, strong isolated peak"
720,769.4284,"Dataset E - Low baseline, strong isolated peak"
740,838.3507,"Dataset E - Low baseline, strong isolated peak"
760,863.0628,"Dataset E - Low baseline, strong isolated peak"
780,810.6612,"Dataset E - Low baseline, strong isolated peak"
800,744.1096,"Dataset E - Low baseline, strong isolated peak"
820,834.5999,"Dataset E - Low baseline, strong isolated peak"
840,861.4833,"Dataset E - Low baseline, strong isolated peak"
860,727.0565,"Dataset E - Low baseline, strong isolated peak"
880,805.8842,"Dataset E - Low baseline, strong isolated peak"
900,884.735,"Dataset E - Low baseline, strong isolated peak"
920,991.1215,"Dataset E - Low baseline, strong isolated peak"
940,1776.1488,"Dataset E - Low baseline, strong isolated peak"
960,5276.5348,"Dataset E - Low baseline, strong isolated peak"
980,12445.1978,"Dataset E - Low baseline, strong isolated peak"
1000,16797.5091,"Dataset E - Low baseline, strong isolated peak"
1020,12510.083,"Dataset E - Low baseline, strong isolated peak"
1040,5168.281,"Dataset E - Low baseline, strong isolated peak"
1060,1686.225,"Dataset E - Low baseline, strong isolated peak"
1080,905.0295,"Dataset E - Low baseline, strong isolated peak"
1100,793.8837,"Dataset E - Low baseline, strong isolated peak"
1120,705.3629,"Dataset E - Low baseline, strong isolated peak"
1140,776.9284,"Dataset E - Low baseline, strong isolated peak"
1160,774.2465,"Dataset E - Low baseline, strong isolated peak"
1180,721.8309,"Dataset E - Low baseline, strong isolated peak"
1200,744.7683,"Dataset E - Low baseline, strong isolated peak"
1220,776.5385,"Dataset E - Low baseline, strong isolated peak"
1240,724.1897,"Dataset E - Low baseline, strong isolated peak"
1260,769.6274,"Dataset E - Low baseline, strong isolated peak"
1280,852.051,"Dataset E - Low baseline, strong isolated peak"
1300,699.5412,"Dataset E - Low baseline, strong isolated peak"
1320,744.7318,"Dataset E - Low baseline, strong isolated peak"
1340,829.2119,"Dataset E - Low baseline, strong isolated peak"
1360,703.0896,"Dataset E - Low baseline, strong isolated peak"
1380,708.5368,"Dataset E - Low baseline, strong isolated peak"
1400,761.9064,"Dataset E - Low baseline, strong isolated peak"
1420,731.2793,"Dataset E - Low baseline, strong isolated peak"
1440,820.9395,"Dataset E - Low baseline, strong isolated peak"
1460,756.5177,"Dataset E - Low baseline, strong isolated peak"
1480,797.9433,"Dataset E - Low baseline, strong isolated peak"
1500,676.3938,"Dataset E - Low baseline, strong isolated peak"
1520,634.515,"Dataset E - Low baseline, strong isolated peak"
1540,813.9982,"Dataset E - Low baseline, strong isolated peak"
1560,724.7198,"Dataset E - Low baseline, strong isolated peak"
1580,692.1042,"Dataset E - Low baseline, strong isolated peak"
1600,772.2383,"Dataset E - Low baseline, strong isolated peak"
1620,719.8087,"Dataset E - Low baseline, strong isolated peak"
1640,659.3683,"Dataset E - Low baseline, strong isolated peak"
1660,678.9068,"Dataset E - Low baseline, strong isolated peak"
1680,749.883,"Dataset E - Low baseline, strong isolated peak"
1700,673.8519,"Dataset E - Low baseline, strong isolated peak"
1720,702.1344,"Dataset E - Low baseline, strong isolated peak"
1740,906.366,"Dataset E - Low baseline, strong isolated peak"
1760,778.2841,"Dataset E - Low baseline, strong isolated peak"
1780,813.7571,"Dataset E - Low baseline, strong isolated peak"
1800,828.6997,"Dataset E - Low baseline, strong isolated peak"
1820,713.7126,"Dataset E - Low baseline, strong isolated peak"
1840,693.5738,"Dataset E - Low baseline, strong isolated peak"
1860,804.2448,"Dataset E - Low baseline, strong isolated peak"
1880,711.6273,"Dataset E - Low baseline, strong isolated peak"
1900,919.2428,"Dataset E - Low baseline, strong isolated peak"
1920,910.6708,"Dataset E - Low baseline, strong isolated peak"
1940,793.9375,"Dataset E - Low baseline, strong isolated peak"
1960,746.4424,"Dataset E - Low baseline, strong isolated peak"
1980,810.3953,"Dataset E - Low baseline, strong isolated peak"
2000,901.2826,"Dataset E - Low baseline, strong isolated peak"
2020,897.8444,"Dataset E - Low baseline, strong isolated peak"
2040,896.3141,"Dataset E - Low baseline, strong isolated peak"
2060,855.4772,"Dataset E - Low baseline, strong isolated peak"
2080,815.4326,"Dataset E - Low baseline, strong isolated peak"
2100,821.5587,"Dataset E - Low baseline, strong isolated peak"
2120,785.6571,"Dataset E - Low baseline, strong isolated peak"
2140,839.5962,"Dataset E - Low baseline, strong isolated peak"
2160,759.6203,"Dataset E - Low baseline, strong isolated peak"
2180,783.259,"Dataset E - Low baseline, strong isolated peak"
2200,805.6888,"Dataset E - Low baseline, strong isolated peak"
2220,887.0629,"Dataset E - Low baseline, strong isolated peak"
2240,853.192,"Dataset E - Low baseline, strong isolated peak"
2260,843.4764,"Dataset E - Low baseline, strong isolated peak"
2280,791.3717,"Dataset E - Low baseline, strong isolated peak"
2300,827.752,"Dataset E - Low baseline, strong isolated peak"
2320,811.7351,"Dataset E - Low baseline, strong isolated peak"
2340,803.1026,"Dataset E - Low baseline, strong isolated peak"
2360,815.8126,"Dataset E - Low baseline, strong isolated peak"
2380,928.8739,"Dataset E - Low baseline, strong isolated peak"
2400,865.0512,"Dataset E - Low baseline, strong isolated peak"
