Raman Shift,Raman intensity,Sample name
400,827.6862,Dataset D - Multiple small peaks
420,822.1778,Dataset D - Multiple small peaks
440,820.3401,Dataset D - Multiple small peaks
460,982.0398,Dataset D - Multiple small peaks
480,2111.4362,Dataset D - Multiple small peaks
500,3817.2937,Dataset D - Multiple small peaks
520,2191.2987,Dataset D - Multiple small peaks
540,924.2208,Dataset D - Multiple small peaks
560,832.9946,Dataset D - Multiple small peaks
580,850.0937,Dataset D - Multiple small peaks
600,895.2791,Dataset D - Multiple small peaks
620,817.2964,Dataset D - Multiple small peaks
640,765.6272,Dataset D - Multiple small peaks
660,823.3348,Dataset D - Multiple small peaks
680,873.9787,Dataset D - Multiple small peaks
700,829.3807,Dataset D - Multiple small peaks
720,859.0715,Dataset D - Multiple small peaks
740,798.8001,Dataset D - Multiple small peaks
760,846.4785,Dataset D - Multiple small peaks
780,802.0884,Dataset D - Multiple small peaks
800,1920.6392,Dataset D - Multiple small peaks
820,5084.2532,Dataset D - Multiple small peaks
840,1783.2083,Dataset D - Multiple small peaks
860,805.5022,Dataset D - Multiple small peaks
880,778.0134,Dataset D - Multiple small peaks
900,774.5666,Dataset D - Multiple small peaks
920,755.4541,Dataset D - Multiple small peaks
940,803.2273,Dataset D - Multiple small peaks
960,858.6856,Dataset D - Multiple small peaks
980,874.8352,Dataset D - Multiple small peaks
1000,782.6112,Dataset D - Multiple small peaks
1020,802.4234,Dataset D - Multiple small peaks
1040,862.3415,Dataset D - Multiple small peaks
1060,839.2572,Dataset D - Multiple small peaks
1080,752.1303,Dataset D - Multiple small peaks
1100,763.985,Dataset D - Multiple small peaks
1120,810.6549,Dataset D - Multiple small peaks
1140,791.6324,Dataset D - Multiple small peaks
1160,715.3826,Dataset D - Multiple small peaks
1180,727.3241,Dataset D - Multiple small peaks
1200,810.3507,Dataset D - Multiple small peaks
1220,724.1559,Dataset D - Multiple small peaks
1240,722.4525,Dataset D - Multiple small peaks
1260,750.2261,Dataset D - Multiple small peaks
1280,739.5298,Dataset D - Multiple small peaks
1300,709.5809,Dataset D - Multiple small peaks
1320,723.5638,Dataset D - Multiple small peaks
1340,740.1864,Dataset D - Multiple small peaks
1360,715.6174,Dataset D - Multiple small peaks
1380,770.8447,Dataset D - Multiple small peaks
1400,637.8609,Dataset D - Multiple small peaks
1420,777.6062,Dataset D - Multiple small peaks
1440,795.5543,Dataset D - Multiple small peaks
1460,778.7208,Dataset D - Multiple small peaks
1480,641.1217,Dataset D - Multiple small peaks
1500,718.0342,Dataset D - Multiple small peaks
1520,755.795,Dataset D - Multiple small peaks
1540,817.1058,Dataset D - Multiple small peaks
1560,1712.6156,Dataset D - Multiple small peaks
1580,4553.9427,Dataset D - Multiple small peaks
1600,1679.9994,Dataset D - Multiple small peaks
1620,785.4691,Dataset D - Multiple small peaks
1640,778.677,Dataset D - Multiple small peaks
1660,699.3308,Dataset D - Multiple small peaks
1680,744.7311,Dataset D - Multiple small peaks
1700,844.3143,Dataset D - Multiple small peaks
1720,732.2665,Dataset D - Multiple small peaks
1740,823.0228,Dataset D - Multiple small peaks
1760,849.8225,Dataset D - Multiple small peaks
1780,818.7051,Dataset D - Multiple small peaks
1800,758.5774,Dataset D - Multiple small peaks
1820,829.196,Dataset D - Multiple small peaks
1840,780.1772,Dataset D - Multiple small peaks
1860,777.7427,Dataset D - Multiple small peaks
1880,765.4731,Dataset D - Multiple small peaks
1900,753.7216,Dataset D - Multiple small peaks
1920,820.4724,Dataset D - Multiple small peaks
1940,798.3776,Dataset D - Multiple small peaks
1960,822.3567,Dataset D - Multiple small peaks
1980,811.348,Dataset D - Multiple small peaks
2000,841.4128,Dataset D - Multiple small peaks
2020,778.5279,Dataset D - Multiple small peaks
2040,874.9026,Dataset D - Multiple small peaks
2060,776.869,Dataset D - Multiple small peaks
2080,848.4696,Dataset D - Multiple small peaks
2100,819.6412,Dataset D - Multiple small peaks
2120,805.1382,Dataset D - Multiple small peaks
2140,817.5728,Dataset D - Multiple small peaks
2160,850.1563,Dataset D - Multiple small peaks
2180,797.9179,Dataset D - Multiple small peaks
2200,805.8512,Dataset D - Multiple small peaks
2220,896.698,Dataset D - Multiple small peaks
2240,841.9456,Dataset D - Multiple small peaks
2260,843.18,Dataset D - Multiple small peaks
2280,770.9207,Dataset D - Multiple small peaks
2300,1141.0905,Dataset D - Multiple small peaks
2320,3361.1915,Dataset D - Multiple small peaks
2340,1155.1452,Dataset D - Multiple small peaks
2360,893.4979,Dataset D - Multiple small peaks
2380,856.3616,Dataset D - Multiple small peaks
2400,771.6689,Dataset D - Multiple small peaks
