Raman Shift,Raman intensity,Sample name
400,786.133,Dataset C - Broad peak + shoulder
420,836.2559,Dataset C - Broad peak + shoulder
440,868.9188,Dataset C - Broad peak + shoulder
460,830.6918,Dataset C - Broad peak + shoulder
480,795.7218,Dataset C - Broad peak + shoulder
500,966.1313,Dataset C - Broad peak + shoulder
520,870.8806,Dataset C - Broad peak + shoulder
540,870.3082,Dataset C - Broad peak + shoulder
560,798.8269,Dataset C - Broad peak + shoulder
580,815.1517,Dataset C - Broad peak + shoulder
600,874.337,Dataset C - Broad peak + shoulder
620,837.7399,Dataset C - Broad peak + shoulder
640,891.2426,Dataset C - Broad peak + shoulder
660,920.1709,Dataset C - Broad peak + shoulder
680,778.2776,Dataset C - Broad peak + shoulder
700,767.3359,Dataset C - Broad peak + shoulder
720,886.4906,Dataset C - Broad peak + shoulder
740,829.3,Dataset C - Broad peak + shoulder
760,862.589,Dataset C - Broad peak + shoulder
780,892.2442,Dataset C - Broad peak + shoulder
800,887.0734,Dataset C - Broad peak + shoulder
820,732.064,Dataset C - Broad peak + shoulder
840,847.8654,Dataset C - Broad peak + shoulder
860,890.5878,Dataset C - Broad peak + shoulder
880,803.8936,Dataset C - Broad peak + shoulder
900,775.0339,Dataset C - Broad peak + shoulder
920,778.3113,Dataset C - Broad peak + shoulder
940,862.3056,Dataset C - Broad peak + shoulder
960,878.1346,Dataset C - Broad peak + shoulder
980,1014.0761,Dataset C - Broad peak + shoulder
1000,1170.4688,Dataset C - Broad peak + shoulder
1020,1597.7749,Dataset C - Broad peak + shoulder
1040,2089.9957,Dataset C - Broad peak + shoulder
1060,2851.3927,Dataset C - Broad peak + shoulder
1080,4064.9281,Dataset C - Broad peak + shoulder
1100,5315.6569,Dataset C - Broad peak + shoulder
1120,6815.5928,Dataset C - Broad peak + shoulder
1140,8320.167,Dataset C - Broad peak + shoulder
1160,9579.283,Dataset C - Broad peak + shoulder
1180,10466.4497,Dataset C - Broad peak + shoulder
1200,10839.8782,Dataset C - Broad peak + shoulder
1220,11078.5985,Dataset C - Broad peak + shoulder
1240,12061.9269,Dataset C - Broad peak + shoulder
1260,12319.4482,Dataset C - Broad peak + shoulder
1280,9205.0893,Dataset C - Broad peak + shoulder
1300,5878.2748,Dataset C - Broad peak + shoulder
1320,4055.8168,Dataset C - Broad peak + shoulder
1340,3001.261,Dataset C - Broad peak + shoulder
1360,2085.3026,Dataset C - Broad peak + shoulder
1380,1440.978,Dataset C - Broad peak + shoulder
1400,1159.2739,Dataset C - Broad peak + shoulder
1420,952.0074,Dataset C - Broad peak + shoulder
1440,750.6444,Dataset C - Broad peak + shoulder
1460,781.1518,Dataset C - Broad peak + shoulder
1480,758.2656,Dataset C - Broad peak + shoulder
1500,774.4789,Dataset C - Broad peak + shoulder
1520,733.5154,Dataset C - Broad peak + shoulder
1540,778.7548,Dataset C - Broad peak + shoulder
1560,704.849,Dataset C - Broad peak + shoulder
1580,766.2246,Dataset C - Broad peak + shoulder
1600,789.0552,Dataset C - Broad peak + shoulder
1620,745.9645,Dataset C - Broad peak + shoulder
1640,717.3782,Dataset C - Broad peak + shoulder
1660,730.7847,Dataset C - Broad peak + shoulder
1680,819.109,Dataset C - Broad peak + shoulder
1700,847.5207,Dataset C - Broad peak + shoulder
1720,800.1758,Dataset C - Broad peak + shoulder
1740,861.2101,Dataset C - Broad peak + shoulder
1760,780.3991,Dataset C - Broad peak + shoulder
1780,824.8954,Dataset C - Broad peak + shoulder
1800,781.4891,Dataset C - Broad peak + shoulder
1820,840.8665,Dataset C - Broad peak + shoulder
1840,816.7473,Dataset C - Broad peak + shoulder
1860,776.3464,Dataset C - Broad peak + shoulder
1880,794.0747,Dataset C - Broad peak + shoulder
1900,894.8912,Dataset C - Broad peak + shoulder
1920,839.5581,Dataset C - Broad peak + shoulder
1940,739.483,Dataset C - Broad peak + shoulder
1960,783.4283,Dataset C - Broad peak + shoulder
1980,803.152,Dataset C - Broad peak + shoulder
2000,792.5587,Dataset C - Broad peak + shoulder
2020,845.2535,Dataset C - Broad peak + shoulder
2040,778.6854,Dataset C - Broad peak + shoulder
2060,826.0353,Dataset C - Broad peak + shoulder
2080,834.3486,Dataset C - Broad peak + shoulder
2100,884.6268,Dataset C - Broad peak + shoulder
2120,773.3577,Dataset C - Broad peak + shoulder
2140,832.7848,Dataset C - Broad peak + shoulder
2160,755.0823,Dataset C - Broad peak + shoulder
2180,874.6008,Dataset C - Broad peak + shoulder
2200,861.6703,Dataset C - Broad peak + shoulder
2220,847.9634,Dataset C - Broad peak + shoulder
2240,874.2522,Dataset C - Broad peak + shoulder
2260,761.4455,Dataset C - Broad peak + shoulder
2280,868.9245,Dataset C - Broad peak + shoulder
2300,818.2652,Dataset C - Broad peak + shoulder
2320,930.6861,Dataset C - Broad peak + shoulder
2340,862.5025,Dataset C - Broad peak + shoulder
2360,938.9029,Dataset C - Broad peak + shoulder
2380,936.5059,Dataset C - Broad peak + shoulder
2400,825.9981,Dataset C - Broad peak + shoulder
